0,1,2,3,4
-351.17728546,-334.94933186,-320.17620521,-306.71646497,-293.95963664
-361.74335239,-345.51760773,-330.81469798,-317.47757488,-305.03085919
-357.10175388,-340.85311068,-325.99610145,-312.56137728,-300.02627249
-367.49893247,-351.24633211,-336.40593376,-323.01059848,-310.48912031
-362.79185469,-346.48064252,-331.45740454,-317.84802401,-305.17921311
-372.16128915,-355.72608169,-340.7753064,-327.27020706,-314.07252713
-372.12845171,-355.81631401,-340.91208584,-327.35494395,-314.82714596
-355.67973275,-339.46130734,-324.40553099,-310.9341212,-298.15178217
-367.59335764,-351.26054801,-336.21280621,-322.55241328,-310.20353072
